,Ocupados,Horas totales,PIB por hora,PIB por trabajador
Ocupados,1.0,0.9972053548010293,-0.853306966489153,-0.845415361463427
Horas totales,0.9972053548010293,1.0,-0.844976486629272,-0.8315262472782555
PIB por hora,-0.853306966489153,-0.844976486629272,1.0,0.9971643909198198
PIB por trabajador,-0.845415361463427,-0.8315262472782555,0.9971643909198198,1.0
