indicador,unidad,valor_2010,valor_2025,crecimiento_anualizado
PIB real,Billones de pesos de 2015,640.151,1021.0729235872524,0.031616521405962494
Ocupados,Millones de personas,16.841454118384387,22.955397578819678,0.020861946690452493
PIB por trabajador,Millones de pesos de 2015 por ocupado,38.010435173837,44.480733565223396,0.010534798314674632
Horas semanales por trabajador,Horas por semana,46.78087265488201,43.72569163068434,-0.004492450413814519
PIB por hora trabajada,Miles de pesos de 2015 por hora,15.625401274187,19.56284030068651,0.015095062548481586
