anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,group_code,group_name,group_label_short,group_order,sector_code,dane_groups,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
2010,22863.0,1553443.3551027696,67261666.72278315,3497606669.5847235,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",22863000000000.0,14.717627086239958,6536.755604573044
2011,23482.0,1528854.0257473635,66341089.112660415,3449736633.8583417,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",23482000000000.0,15.359216514160718,6806.896436536567
2012,24221.0,1512193.8393385508,63988608.75669894,3327407655.3483453,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",24221000000000.0,16.017126488621667,7279.240330251723
2013,25727.0,1512007.7187887758,65144838.70087428,3387531612.445462,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",25727000000000.0,17.015124777675826,7594.61547324946
2014,26164.0,1504576.9277192054,64325156.274226196,3344908126.2597623,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",26164000000000.0,17.3896060201203,7822.038457377986
2015,27339.0,1507325.8058947793,64513254.43581047,3354689230.662144,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",27339000000000.0,18.137419191712844,8149.488110588373
2016,28338.999999999993,1539571.4656198623,66601603.37740897,3463283375.625266,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",28338999999999.992,18.407070170393254,8182.697436614937
2017,30612.0,1671324.0957980328,71202489.69440487,3702529464.109053,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",30612000000000.0,18.31601667023368,8267.861281521557
2018,30933.0,1714896.515093798,72212857.76109585,3755068603.5769844,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",30933000000000.0,18.037823115121373,8237.665743452462
2019,31344.0,1590580.135276203,66269892.85494238,3446034428.4570036,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",31344000000000.0,19.706017512004912,9095.672330248479
2021,33477.0,1590062.8790331758,66987132.994125746,3483330915.6945386,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",33477000000000.0,21.053884372393753,9610.628679912557
2022,33829.0,1703006.2349512577,69822444.17468643,3630767097.0836945,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",33829000000000.0,19.86428429075495,9317.314797518171
2023,34624.0,1791347.9939303636,74547752.34251322,3876483121.8106875,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",34624000000000.0,19.328461090372574,8931.807236613811
2024,36502.0,1735766.3821658548,70492131.94912055,3665590861.3542686,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",36502000000000.0,21.029327664736503,9958.01260441657
2025,37244.13925969323,1815701.944599347,74474641.49017712,3872681357.4892106,"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",0,A,"001,002,004-008,013",37244139259693.23,20.5122538809152,9617.145285570268
2010,3415.0,474946.1358959258,21316270.634968393,1108446073.0183563,003,Café,Café,1,A,003,3415000000000.0,7.190289049426699,3080.889619375688
2011,3134.0,477776.240145451,21299857.00180002,1107592564.093601,003,Café,Café,1,A,003,3134000000000.0,6.559555994341423,2829.5603470078463
2012,3066.0,484244.54319914983,21544427.373177048,1120310223.4052064,003,Café,Café,1,A,003,3066000000000.0,6.331511718737284,2736.741963025945
2013,4167.0,450549.9259311895,19769779.433340464,1028028530.5337042,003,Café,Café,1,A,003,4167000000000.0,9.248697558628402,4053.389450034708
2014,4809.999999999999,467689.6252551301,21230614.766893577,1103991967.878466,003,Café,Café,1,A,003,4809999999999.999,10.28459846073363,4356.915756591367
2015,5299.0,486775.05538755824,22106385.245941788,1149532032.7889729,003,Café,Café,1,A,003,5299000000000.0,10.885931687237068,4609.701903777023
2016,5489.000000000001,466151.5967974345,21345216.804190893,1109951273.8179264,003,Café,Café,1,A,003,5489000000000.001,11.775139327443382,4945.26212949813
2017,5470.0,439741.0794791201,19684841.34247201,1023611749.8085445,003,Café,Café,1,A,003,5470000000000.0,12.439138063879083,5343.822988572673
2018,5393.000000000001,405798.94704696286,18199893.583411682,946394466.3374075,003,Café,Café,1,A,003,5393000000000.001,13.289832413921646,5698.469498528634
2019,5981.000000000001,434802.70552384754,19203294.508249495,998571314.4289738,003,Café,Café,1,A,003,5981000000000.001,13.75566417599479,5989.557193939819
2021,5140.000000000001,488935.8102148988,21635700.81008669,1125056442.124508,003,Café,Café,1,A,003,5140000000000.001,10.512627409599737,4568.659675681557
2022,4232.000000000001,489843.28063869476,21270138.95037365,1106047225.4194298,003,Café,Café,1,A,003,4232000000000.001,8.639497911417706,3826.238068989471
2023,4399.0,465427.00449796347,20245046.96897372,1052742442.3866334,003,Café,Café,1,A,003,4399000000000.0,9.451535810099838,4178.609907687573
2024,5113.0,499341.03044565255,21285161.210810576,1106828382.9621499,003,Café,Café,1,A,003,5113000000000.0,10.239495030954583,4619.5056783024775
2025,5000.923511497827,536097.7306600623,23251259.621950172,1209065500.341409,003,Café,Café,1,A,003,5000923511497.827,9.32838030360717,4136.189073367568
2010,10902.0,773811.5606762551,36756028.618869856,1911313488.1812325,009-012,Ganadería,Ganadería,2,A,009-012,10902000000000.0,14.088701376433873,5703.930866084205
2011,11348.0,779370.3372440971,36864218.65408729,1916939370.0125391,009-012,Ganadería,Ganadería,2,A,009-012,11348000000000.0,14.560472034549385,5919.853375396933
2012,11652.0,775620.7397939253,36064025.1720479,1875329308.9464908,009-012,Ganadería,Ganadería,2,A,009-012,11652000000000.0,15.022806124415677,6213.308747649115
2013,11930.0,751295.248439054,34653397.04371281,1801976646.273066,009-012,Ganadería,Ganadería,2,A,009-012,11930000000000.0,15.879243246628594,6620.507554675692
2014,11958.999999999998,717022.7149553685,33123196.839233447,1722406235.6401393,009-012,Ganadería,Ganadería,2,A,009-012,11958999999999.998,16.678690577807416,6943.193627927959
2015,12264.999999999998,687165.8171437783,30521735.026224263,1587130221.3636618,009-012,Ganadería,Ganadería,2,A,009-012,12264999999999.998,17.848675958562335,7727.784295772475
2016,12417.999999999998,687835.0193669519,31271807.227562528,1626133975.8332515,009-012,Ganadería,Ganadería,2,A,009-012,12417999999999.998,18.053747847018442,7636.51715329105
2017,12956.0,725634.6559441644,32456808.381686643,1687754035.8477054,009-012,Ganadería,Ganadería,2,A,009-012,12956000000000.0,17.854715033066075,7676.474015061449
2018,13400.0,757969.8221606329,33429223.419733256,1738319617.8261294,009-012,Ganadería,Ganadería,2,A,009-012,13400000000000.0,17.678804100409426,7708.593898720124
2019,13729.0,770771.9173603144,34062241.93764425,1771236580.7575011,009-012,Ganadería,Ganadería,2,A,009-012,13729000000000.0,17.81201376279784,7751.082011940238
2021,15223.0,504015.9666148481,22030896.52551695,1145606619.3268814,009-012,Ganadería,Ganadería,2,A,009-012,15223000000000.0,30.20340824169346,13288.156460674525
2022,15299.999999999998,547268.8271094958,24075714.28469197,1251937142.8039825,009-012,Ganadería,Ganadería,2,A,009-012,15299999999999.998,27.957009868093262,12221.060847937108
2023,15125.0,544921.0132066737,24119373.303116087,1254207411.7620366,009-012,Ganadería,Ganadería,2,A,009-012,15125000000000.0,27.756316298016387,12059.408880984749
2024,16017.000000000002,547691.9500667313,23821885.872482914,1238738065.3691115,009-012,Ganadería,Ganadería,2,A,009-012,16017000000000.002,29.2445415676613,12930.09430143519
2025,17320.411265089817,640043.4666479857,27680436.382149216,1439382691.8717592,009-012,Ganadería,Ganadería,2,A,009-012,17320411265089.816,27.061304688882608,12033.22185468725
2010,1423.0,43049.43337330715,2072125.2767122062,107750514.38903472,"014,015",Silvicultura,Silvicultura,3,A,"014,015",1423000000000.0,33.05502276093448,13206.433473368294
2011,1493.9999999999998,44049.89505923321,2019674.4782422238,105023072.86859564,"014,015",Silvicultura,Silvicultura,3,A,"014,015",1493999999999.9998,33.916085338933065,14225.445506334454
2012,1593.0,49331.10962045145,2123372.927881757,110415392.24985135,"014,015",Silvicultura,Silvicultura,3,A,"014,015",1593000000000.0,32.2919961106973,14427.336330022816
2013,1652.0000000000002,38465.49846039757,1891570.1034589105,98361645.37986335,"014,015",Silvicultura,Silvicultura,3,A,"014,015",1652000000000.0002,42.94757811863088,16795.16435110589
2014,1759.0,36657.10411933516,1585409.805293646,82441309.87526959,"014,015",Silvicultura,Silvicultura,3,A,"014,015",1759000000000.0,47.98524166758163,21336.390732525924
2015,1796.0,31888.076037069754,1394594.898492003,72518934.72158416,"014,015",Silvicultura,Silvicultura,3,A,"014,015",1796000000000.0,56.32199314603232,24765.945706390085
