codigo,actividad,actividad_corta,sector_code,dane_groups,group_order,pib_2010_billones,pib_2025_billones,crec_pib,ocupados_2010_millones,ocupados_2025_millones,crec_ocupados,horas_2010_millones,horas_2025_millones,crec_horas,horas_semanales_2010,horas_semanales_2025,crec_horas_semanales,pib_trabajador_2010,pib_trabajador_2025,crec_pib_trabajador,pib_hora_2010,pib_hora_2025,crec_pib_hora
"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","Cultivos, apoyo agropecuario y mixtos",A,"001,002,004-008,013",0,22.863,37.24413925969323,0.03306658668991713,1.5534433551027695,1.815701944599347,0.010454143535697069,3497.6066695847235,3872.6813574892108,0.0068143258102864035,43.29843537702305,41.01699715181542,-0.003602160225375961,14.717627086239958,20.5122538809152,0.022378495153769773,6.536755604573044,9.617145285570269,0.026074580194816788
003,Café,Café,A,003,1,3.415,5.000923511497827,0.0257557660683172,0.4749461358959258,0.5360977306600623,0.008107023935276736,1108.4460730183564,1209.065500341409,0.0058093858900656326,44.881448703141764,43.371307678028046,-0.0022791608337791036,7.190289049426699,9.32838030360717,0.01750681397312981,3.080889619375688,4.136189073367568,0.01983117324024608
009-012,Ganadería,Ganadería,A,009-012,2,10.902,17.320411265089817,0.031343814281775906,0.7738115606762551,0.6400434666479857,-0.012573109061597143,1911.3134881812325,1439.382691871759,-0.018727510283619075,47.49997349063608,43.24774460571603,-0.006232766474663309,14.088701376433873,27.061304688882608,0.04447612653290878,5.703930866084205,12.03322185468725,0.051026931958387145
"014,015",Silvicultura,Silvicultura,A,"014,015",3,1.423,2.1380746483326276,0.027514275299906243,0.04304943337330715,0.03046753767752683,-0.022782292740220034,107.75051438903472,65.04048436685396,-0.033093912898529365,48.13362486664063,41.052826741525934,-0.01055201935219141,33.05502276093448,70.17549862290622,0.05146915335904323,13.206433473368294,32.872981638221574,0.06268260072715326
016,Pesca y acuicultura,Pesca y acuicultura,A,016,4,1.354,2.5980392331286484,0.04440386270543306,0.11113578197173007,0.1056474874261046,-0.0033706235194189693,288.28061381980206,239.2898255166804,-0.012340482817888243,49.88364557045474,43.55737676204562,-0.009000195569334624,12.183294848678177,24.59158562522231,0.04793606063826772,4.696812532966077,10.857290850201839,0.057453347571861935
017,Carbón,Carbón,B,017,5,7.720999999999999,5.720123858936617,-0.019798283531645033,0.03008117114210483,0.05528982198858535,0.04141388417484371,81.20882058691605,136.90617489982557,0.03543137896215742,51.91646564664465,47.6183673788898,-0.005744599052879273,256.6721875131005,103.45708582888084,-0.05877794471214448,95.07587900179365,41.781343048420126,-0.05333976120094097
"018,021","Petróleo, gas y apoyo conexo","Petróleo, gas y apoyo conexo",B,"018,021",6,25.402999999999995,24.562529838366398,-0.0022404978536637588,0.044528439684593885,0.04263757292406616,-0.0028886345768441846,119.86045349201545,106.06319302617085,-0.008119728891924138,51.76486616928984,47.837544425835695,-0.005246248810793497,570.4893362519734,576.0771111927536,0.0006500143771859257,211.93812687928988,231.58391839387346,0.005927359591185732
019,Minerales metalíferos,Minerales metalíferos,B,019,7,4.203000000000001,2.9544347977393164,-0.02322545185135172,0.08815510926309875,0.16826876102445892,0.04403982999024225,223.21303953444058,395.6773155013423,0.03890245548886395,48.6932463525655,45.220390867146996,-0.004920669072008832,47.67732732831351,17.557832955755053,-0.06442788858182025,18.82954512319833,7.466778311503415,-0.059801482816768226
020,Otras minas y canteras,Otras minas y canteras,B,020,8,1.492,1.494340019948779,0.00010448208197044728,0.028604558003462666,0.0327733589126662,0.009111249097676133,70.73510305152396,75.82029943739629,0.004639000508774416,47.555024032668875,44.489876224584116,-0.004431868728944188,52.15951946607212,45.59618145734976,-0.008925445062434312,21.092780467333398,19.7089701707474,-0.00451357992722512
"023-025|026|027|028,032,035|029|030,031|033|034|036","Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",C,"023-025; 026; 027; 028,032,035; 029; 030,031; 033; 034; 036",10,23.952,33.54384650104266,0.022707416216744658,0.5978903662379812,0.6586972624801123,0.006478001179062387,1412.1912677884575,1532.7996042716688,0.0054785045120993026,45.42224781346889,44.75032332118254,-0.0009930635997928983,40.06085622471171,50.92452695908302,0.01612495754370169,16.960875305162947,21.88403911872191,0.017135037325343605
