indicador,unidad,valor_2010,valor_2025,crecimiento_anualizado,codigo,actividad
Ocupados,Millones de personas,0.6470555075236512,1.0280010358434257,0.03134381300026634,F01,Edificaciones
PIB por trabajador,Millones de pesos de 2015 por ocupado,34.05426542821688,19.90892036471144,-0.03515308438761333,F01,Edificaciones
Horas semanales por trabajador,Horas por semana,49.29013196564641,46.0669413698525,-0.0044984058755476175,F01,Edificaciones
PIB por hora trabajada,Miles de pesos de 2015 por hora,13.28642658595108,8.31103263604309,-0.03079319881855791,F01,Edificaciones
PIB real,Billones de pesos de 2015,9.751,11.939425353011725,0.01358992383173474,F02,Obras civiles
Ocupados,Millones de personas,0.1171378138441624,0.21244230855047225,0.040486045034572316,F02,Obras civiles
PIB por trabajador,Millones de pesos de 2015 por ocupado,83.24382776148202,56.2007889787883,-0.025849574178521406,F02,Obras civiles
Horas semanales por trabajador,Horas por semana,51.13383036094585,46.79434465078393,-0.005894821332428801,F02,Obras civiles
PIB por hora trabajada,Miles de pesos de 2015 por hora,31.306922056627844,23.096474830535545,-0.020073080066677185,F02,Obras civiles
PIB real,Billones de pesos de 2015,8.542,9.082220023194926,0.00409660063909012,F03,Actividades especializadas de construcción
Ocupados,Millones de personas,0.19428274607351254,0.33994172464932637,0.03800158341338955,F03,Actividades especializadas de construcción
PIB por trabajador,Millones de pesos de 2015 por ocupado,43.96684817687252,26.716991074172697,-0.0326637100714291,F03,Actividades especializadas de construcción
Horas semanales por trabajador,Horas por semana,46.297761359960845,43.73052550207968,-0.0037959256465677216,F03,Actividades especializadas de construcción
PIB por hora trabajada,Miles de pesos de 2015 por hora,18.262574393606,11.748962172053078,-0.028977781930471957,F03,Actividades especializadas de construcción
PIB real,Billones de pesos de 2015,51.171,89.04674245592864,0.037623045515907005,G,Comercio y reparación
Ocupados,Millones de personas,3.1446644737500353,3.9027589035457777,0.01450259111062735,G,Comercio y reparación
PIB por trabajador,Millones de pesos de 2015 por ocupado,16.272324258167426,22.81635751955544,0.022789941206526,G,Comercio y reparación
Horas semanales por trabajador,Horas por semana,49.35539142590251,46.015337716305346,-0.004660588205034788,G,Comercio y reparación
PIB por hora trabajada,Miles de pesos de 2015 por hora,6.340326833936029,9.53543161739783,0.027579064072281945,G,Comercio y reparación
PIB real,Billones de pesos de 2015,32.834999999999994,49.775561576499086,0.028123477551572185,H,Transporte y almacenamiento
Ocupados,Millones de personas,1.1517181356474306,1.7925080377381233,0.029929885859793615,H,Transporte y almacenamiento
PIB por trabajador,Millones de pesos de 2015 por ocupado,28.509579717212684,27.768668551862337,-0.0017539138663923426,H,Transporte y almacenamiento
Horas semanales por trabajador,Horas por semana,57.09216822947256,49.10897625365549,-0.00999142502839645,H,Transporte y almacenamiento
PIB por hora trabajada,Miles de pesos de 2015 por hora,9.603088574325833,10.874037650638936,0.008320646275453036,H,Transporte y almacenamiento
PIB real,Billones de pesos de 2015,23.796,40.636968158629095,0.036321454440124024,I,Alojamiento y comida
Ocupados,Millones de personas,0.8633264591965568,1.7338397050460204,0.04758416755364192,I,Alojamiento y comida
PIB por trabajador,Millones de pesos de 2015 por ocupado,27.563153829601642,23.437557716761646,-0.010751129563001172,I,Alojamiento y comida
Horas semanales por trabajador,Horas por semana,46.377463352720376,42.01847468677648,-0.006558680186893762,I,Alojamiento y comida
PIB por hora trabajada,Miles de pesos de 2015 por hora,11.429272156131638,10.726764051854634,-0.004220127844990484,I,Alojamiento y comida
PIB real,Billones de pesos de 2015,18.256,31.286882674260237,0.03656636156932591,J,Información y comunicaciones
