codigo,actividad_corta,dane_groups,pib_2010_billones,pib_2025_billones,crec_pib_anual,ocupados_2010_millones,ocupados_2025_millones,crec_ocupados_anual
"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","001,002,004-008,013",22.863,37.24413925969323,0.03306658668991713,1.5534433551027695,1.815701944599347,0.010454143535697069
003,Café,003,3.415,5.000923511497827,0.0257557660683172,0.4749461358959258,0.5360977306600623,0.008107023935276736
009-012,Ganadería,009-012,10.902,17.320411265089817,0.031343814281775906,0.7738115606762551,0.6400434666479857,-0.012573109061597143
"014,015",Silvicultura,"014,015",1.423,2.1380746483326276,0.027514275299906243,0.04304943337330715,0.03046753767752683,-0.022782292740220034
016,Pesca y acuicultura,016,1.354,2.5980392331286484,0.04440386270543306,0.11113578197173007,0.1056474874261046,-0.0033706235194189693
017,Carbón,017,7.720999999999999,5.720123858936617,-0.019798283531645033,0.03008117114210483,0.05528982198858535,0.04141388417484371
"018,021","Petróleo, gas y apoyo conexo","018,021",25.402999999999995,24.562529838366398,-0.0022404978536637588,0.044528439684593885,0.04263757292406616,-0.0028886345768441846
019,Minerales metalíferos,019,4.203000000000001,2.9544347977393164,-0.02322545185135172,0.08815510926309875,0.16826876102445892,0.04403982999024225
020,Otras minas y canteras,020,1.492,1.494340019948779,0.00010448208197044728,0.028604558003462666,0.0327733589126662,0.009111249097676133
"023-025|026|027|028,032,035|029|030,031|033|034|036","Alimentos, bebidas y tabaco","023-025; 026; 027; 028,032,035; 029; 030,031; 033; 034; 036",23.952,33.54384650104266,0.022707416216744658,0.5978903662379812,0.6586972624801123,0.006478001179062609
"037,038",Textiles y confecciones,"037,038",7.967,10.607965725792193,0.01926979071826329,0.4813899335993708,0.49805116874437017,0.0022709216973502144
039,"Cuero, calzado y artículos de viaje",039,1.676,1.1849977163851964,-0.022846256986206348,0.13365241144631937,0.1828688716093106,0.02112176316134029
