indicador,unidad,valor_2010,valor_2025,crecimiento_anualizado
PIB por trabajador,Millones de pesos de 2015 por ocupado,38.010435173837,44.480733565223396,0.010534798314674632
PIB por hora trabajada,Pesos de 2015 por hora,15625.401274187001,19562.84030068651,0.015095062548481586
