sector_code,sector_name,anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,sector_name_short,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,sector_order
T,Hogares como empleadores,2010,4276.0,672332.560084494,30859518.087324865,1604694940.540893,Hogares como empleadores,4276000000000.0,6.359947820261186,2664.6809259326837,12
T,Hogares como empleadores,2011,4423.000000000001,673838.8305464907,30656524.202031493,1594139258.5056376,Hogares como empleadores,4423000000000.001,6.563884121093021,2774.5380313550313,12
T,Hogares como empleadores,2012,4545.0,694543.8378288554,31011224.59930014,1612583679.1636071,Hogares como empleadores,4545000000000.0,6.543863399908166,2818.458389928229,12
T,Hogares como empleadores,2013,4668.0,665319.7496871307,28706201.455479052,1492722475.6849108,Hogares como empleadores,4668000000000.0,7.016175308481593,3127.1720470733626,12
T,Hogares como empleadores,2014,4844.0,667758.3570394486,28745559.063397292,1494769071.2966592,Hogares como empleadores,4844000000000.0,7.254121118717553,3240.63435149752,12
T,Hogares como empleadores,2015,4991.0,721864.1352709787,30312229.996268623,1576235959.8059683,Hogares como empleadores,4991000000000.0,6.914043455180719,3166.4040963856596,12
T,Hogares como empleadores,2016,5191.0,636905.0396277457,26833427.355182383,1395338222.4694839,Hogares como empleadores,5191000000000.0,8.15035158621763,3720.2449674265463,12
T,Hogares como empleadores,2017,5306.0,621886.9471235409,26180245.310503636,1361372756.146189,Hogares como empleadores,5306000000000.0,8.53209739252806,3897.5364947219664,12
T,Hogares como empleadores,2018,5449.0,612092.5807872534,25762091.27059535,1339628746.0709581,Hogares como empleadores,5449000000000.0,8.90224807657638,4067.544844779984,12
T,Hogares como empleadores,2019,5608.0,674776.2515007491,27581090.41968606,1434216701.8236752,Hogares como empleadores,5608000000000.0,8.31090304012244,3910.148301068562,12
T,Hogares como empleadores,2021,4542.0,495820.52917267877,20527942.711577278,1067453021.0020185,Hogares como empleadores,4542000000000.0,9.160572692661066,4254.988192113994,12
T,Hogares como empleadores,2022,6090.0,658607.990417401,27194752.05448866,1414127106.8334103,Hogares como empleadores,6090000000000.0,9.246775150936733,4306.5435706391745,12
T,Hogares como empleadores,2023,6238.000000000002,668243.1400616989,27422795.00917329,1425985340.477011,Hogares como empleadores,6238000000000.002,9.334925607203461,4374.519024096916,12
T,Hogares como empleadores,2024,6616.0,700543.4605649099,28513557.672845487,1482704998.9879653,Hogares como empleadores,6616000000000.0,9.444096437164566,4462.114853943175,12
T,Hogares como empleadores,2025,6724.33785508047,715904.3419566725,29001000.43591156,1508052022.667401,Hogares como empleadores,6724337855080.47,9.392788199470699,4458.956159341668,12
